æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
ɪksɛsɪv:excessive;ɪ:e,ksɛ:xce,sɪ:ssi,v:ve;~ɪ~ɛ~ɪ~1,~
əksɛʃən:accession;ə:a,ksɛ:cce,ʃə:ssio,n:n;~ə~ɛ~ə~1,~
əktoʊbəɹ:october;ə:o,ktoʊ:cto,bə:be,ɹ:r;~ə~oʊ~ə~2,~
ɪkwɑlətɪ:equality;ɪ:e,kwɑ:qua,lə:li,tɪ:ty;~ɪ~ɑ~ə~ɪ~
ɪkwɪpmənt:equipment;ɪ:e,kwɪ:qui,pmə:pme,nt:nt;~ɪ~ɪ~ə~2,~
ɪkwɪps:equips;ɪ:e,kwɪ:qui,ps:ps;~ɪ~ɪ~1,~
əkyuz:accuse;ə:a,kyu:ccu,z:se;~ə~u~1,~
əkʌlt:occult;ə:o,kʌ:ccu,lt:lt;~ə~ʌ~1,~
ɪkɑnəmɪ:economy;ɪ:e,kɑ:co,nə:no,mɪ:my;~ɪ~ɑ~ə~ɪ~
əkʌstəm:accustom;ə:a,kʌ:ccu,stə:sto,m:m;~ə~ʌ~ə~1,~
əkɜɹ:occur;ə:o,kɜ:ccu,ɹ:r;~ə~ɜ~1,~
əkɔɹd:accord;ə:a,kɔ:cco,ɹd:rd;~ə~ɔ~1,~
əkɔɹdɪd:accorded;ə:a,kɔ:cco,ɹdɪ:rde,d:d;~ə~ɔ~ɪ~1,~
əkɔɹdəns:accordance;ə:a,kɔ:cco,ɹdə:rda,ns:nce;~ə~ɔ~ə~1,~
əkɔɹdɪŋ:according;ə:a,kɔ:cco,ɹdɪ:rdi,ŋ:ng;~ə~ɔ~ɪ~2,~
əkɹɔs:across;ə:a,kɹɔ:cro,s:ss;~ə~ɔ~1,~
ɪlæstɪk:elastic;ɪ:e,læ:la,stɪ:sti,k:c;~ɪ~æ~ɪ~1,~
əlaʊ:allow;ə:a,laʊ:llow;~ə~aʊ~
əlaʊd:allowed;ə:a,laʊ:llow,d:ed;~ə~aʊ~1,~
əlaʊd:aloud;ə:a,laʊ:lou,d:d;~ə~aʊ~1,~
əlaɪk:alike;ə:a,laɪ:li,k:ke;~ə~aɪ~1,~
əlaɪv:alive;ə:a,laɪ:li,v:ve;~ə~aɪ~1,~
əlaʊz:allows;ə:a,laʊ:llow,z:s;~ə~aʊ~2,~
əlaʊəns:allowance;ə:a,laʊ:llow,ə:a,ns:nce;~ə~aʊ~ə~1,~
əloʊn:alone;ə:a,loʊ:lo,n:ne;~ə~oʊ~1,~
əloʊŋɡɪ:alongi;ə:a,loʊ:lo,ŋɡɪ:ngi;~ə~oʊ~ɪ~
ɪlɛktɹɪʃən:electrician;ɪ:e,lɛ:le,ktɹɪ:ctri,ʃə:cia,n:n;~ɪ~ɛ~ɪ~ə~1,~
ɪlɛkt:elect;ɪ:e,lɛ:le,kt:ct;~ɪ~ɛ~1,~
ɪlɛktɹɪk:electric;ɪ:e,lɛ:le,ktɹɪ:ctri,k:c;~ɪ~ɛ~ɪ~1,~
ɪlɛkʃən:election;ɪ:e,lɛ:le,kʃə:ctio,n:n;~ɪ~ɛ~ə~1,~
əlɔŋ:along;ə:a,lɔ:lo,ŋ:ng;~ə~ɔ~1,~
ɪlɛktɹɪsətɪ:electricity;ɪ:e,lɛ:le,ktɹɪ:ctri,sə:ci,tɪ:ty;~ɪ~ɛ~ɪ~ə~ɪ~
ɔlɹɛdɪ:already;ɔ:a,lɹɛ:lrea,dɪ:dy;~ɔ~ɛ~ɪ~
ɪmbæləns:imbalance;ɪ:i,m:m,bæ:ba,lə:la,ns:nce;~ɪ~1,~æ~ə~1,~
əmaʊnt:amount;ə:a,maʊ:mou,nt:nt;~ə~aʊ~1,~
ɪmeɪl:email;ɪ:e,meɪ:mai,l:l;~ɪ~eɪ~2,~
əmeɪzɪŋ:amazing;ə:a,meɪ:ma,zɪ:zi,ŋ:ng;~ə~eɪ~ɪ~1,~
ɛmplɔɪ:employ;ɛ:e,mplɔɪ:mploy;~ɛ~ɔɪ~
ɛmplɔɪmənt:employment;ɛ:e,mplɔɪ:mploy,mə:me,nt:nt;~ɛ~ɔɪ~ə~1,~
ɛmplɔɪɪ:employee;ɛ:e,mplɔɪ:mplo,ɪ:yee;~ɛ~ɔɪ~ɪ~
ɛmplɔɪəɹ:employer;ɛ:e,mplɔɪ:mploy,ə:e,ɹ:r;~ɛ~ɔɪ~ə~1,~
əmyuzmɛnt:amusement;ə:a,myu:mu,z:se,mɛ:me,nt:nt;~ə~u~1,~ɛ~1,~
əmyuz:amuse;ə:a,myu:mu,z:se;~ə~u~1,~
əmyuzɪŋ:amusing;ə:a,myu:mu,zɪ:si,ŋ:ng;~ə~u~ɪ~1,~
əmʌŋ:among;ə:a,mʌ:mo,ŋ:ng;~ə~ʌ~1,~
əmʌŋst:amongst;ə:a,mʌ:mo,ŋst:ngst;~ə~ʌ~1,~
əmɛɹɪkə:america;ə:a,mɛ:me,ɹɪ:ri,kə:ca;~ə~ɛ~ɪ~ə~
əmɛɹɪkən:american;ə:a,mɛ:me,ɹɪ:ri,kə:ca,n:n;~ə~ɛ~ɪ~ə~1,~
ənbʊk:unbook;ə:u,n:n,bʊ:boo,k:k;~ə~1,~ʊ~1,~
ənbɛɹəbl:unbearable;ə:u,n:n,bɛ:bea,ɹə:ra,bl:ble;~ə~1,~ɛ~ə~1,~
əndu:undo;ə:u,n:n,du:do;~ə~1,~u~
ənivənlɪ:unevenly;ə:u,n:n,i:e,və:ve,nlɪ:nly;~ə~1,~i~ə~ɪ~
ɛnkæpsəleɪt:encapsulate;ɛ:e,n:n,kæ:ca,psə:psu,leɪ:la,t:te;~ɛ~1,~æ~ə~eɪ~1,~
ənpɹɪnsəpld:unprincipled;ə:u,n:n,pɹɪ:pri,nsə:nci,pld:pled;~ə~1,~ɪ~ə~1,~
ənsaɪnd:unsigned;ə:u,n:n,saɪ:si,nd:gned;~ə~1,~aɪ~1,~
ənsteɪdʒ:onstage;ə:o,n:n,steɪ:sta,dʒ:ge;~ə~1,~eɪ~1,~
ənsʌtl:unsubtle;ə:u,n:n,sʌ:su,tl:btle;~ə~1,~ʌ~1,~
ɪn:in;ɪ:i,n:n;~ɪ~1,~
ɛnæktmənt:enactment;ɛ:e,næ:na,kt:ct,mə:me,nt:nt;~ɛ~æ~1,~ə~1,~
ənaʊns:announce;ə:a,naʊ:nnou,ns:nce;~ə~aʊ~1,~
ənd:and;ə:a,nd:nd;~ə~2,~
əndəɹkæpətəlaɪz:undercapitalize;ə:u,ndə:nde,ɹ:r,kæ:ca,pə:pi,tə:ta,laɪ:li,z:ze;~ə~ə~1,~æ~ə~ə~aɪ~1,~
ɛneɪbl:enable;ɛ:e,neɪ:na,bl:ble;~ɛ~eɪ~1,~
ɛnfɔɹsəbl:enforceable;ɛ:e,nfɔ:nfo,ɹsə:rcea,bl:ble;~ɛ~ɔ~ə~1,~
ɪnkloʊz:enclose;ɪ:e,nkloʊ:nclo,z:se;~ɪ~oʊ~1,~
ɛnkɜɹɪdʒmənt:encouragement;ɛ:e,nkɜ:ncou,ɹɪ:ra,dʒmə:geme,nt:nt;~ɛ~ɜ~ɪ~ə~1,~
ənlɛs:unless;ə:u,nlɛ:nle,s:ss;~ə~ɛ~1,~
ɪntaɪəɹ:entire;ɪ:e,ntaɪ:nti,ə:re;~ɪ~aɪ~ə~1,~
əntɪl:until;ə:u,ntɪ:nti,l:l;~ə~ɪ~1,~
ɪnvaɪɹənmənt:environment;ɪ:e,nvaɪ:nvi,ɹə:ro,n:n,mə:me,nt:nt;~ɪ~aɪ~ə~1,~ə~1,~
ɪnvaɪɹənmɛntəl:environmental;ɪ:e,nvaɪ:nvi,ɹə:ro,nmɛ:nme,ntə:nta,l:l;~ɪ~aɪ~ə~ɛ~ə~2,~
ənvɛɹɪfaɪd:unverified;ə:u,nvɛ:nve,ɹɪ:ri,faɪ:fie,d:d;~ə~ɛ~ɪ~aɪ~1,~
ɪnʌf:enough;ɪ:e,nʌ:nou,f:gh;~ɪ~ʌ~2,~
ənʌðəɹ:another;ə:a,nʌ:no,ðə:the,ɹ:r;~ə~ʌ~ə~2,~
ənɔɪ:annoy;ə:a,nɔɪ:nnoy;~ə~ɔɪ~
ɛnʃʊə:ensure;ɛ:e,nʃʊ:nsu,ə:re;~ɛ~ʊ~ə~
ɛnʃʊə:ensure;ɛ:e,nʃʊ:nsu,ə:re;~ɛ~ʊ~ə~
ənɔɪəns:annoyance;ə:a,nɔɪ:nnoy,ə:a,ns:nce;~ə~ɔɪ~ə~1,~
əpstɛɹz:upstairs;ə:u,p:p,stɛ:stai,ɹz:rs;~ə~1,~ɛ~1,~
əpsɛt:upset;ə:u,p:p,sɛ:se,t:t;~ə~1,~ɛ~1,~
əpɹaɪt:upright;ə:u,p:p,ɹaɪ:ri,t:ght;~ə~1,~aɪ~1,~
əpdeɪt:update;ə:u,pdeɪ:pda,t:te;~ə~eɪ~1,~
əplaɪ:apply;ə:a,plaɪ:pply;~ə~aɪ~
əplɔd:applaud;ə:a,plɔ:pplau,d:d;~ə~ɔ~1,~
əplɔz:applause;ə:a,plɔ:pplau,z:se;~ə~ɔ~1,~
əpoʊnənt:opponent;ə:o,poʊ:ppo,nə:ne,nt:nt;~ə~oʊ~ə~1,~
əpoʊz:oppose;ə:o,poʊ:ppo,z:se;~ə~oʊ~1,~
əpɑlədʒi:apology;ə:a,pɑ:po,lə:lo,dʒi:gy;~ə~ɑ~ə~i~
əpɑn:upon;ə:u,pɑ:po,n:n;~ə~ɑ~2,~
əpɪnyən:opinion;ə:o,pɪ:pi,nyə:nio,n:n;~ə~ɪ~ə~1,~
əpɪnɪən:opinion;ə:o,pɪ:pi,nɪ:ni,ə:o,n:n;~ə~ɪ~ɪ~ə~1,~
əpɪə:appear;ə:a,pɪ:ppea,ə:r;~ə~ɪ~ə~
əpɪəɹəns:appearance;ə:a,pɪ:ppe,ə:a,ɹə:ra,ns:nce;~ə~ɪ~ə~ə~1,~
əpɑɹt:apart;ə:a,pɑ:pa,ɹt:rt;~ə~ɑ~1,~
əpɹoʊtʃ:approach;ə:a,pɹoʊ:pproa,tʃ:ch;~ə~oʊ~1,~
əpɹuv:approve;ə:a,pɹu:ppro,v:ve;~ə~u~1,~
əpɹuvəl:approval;ə:a,pɹu:ppro,və:va,l:l;~ə~u~ə~1,~
əpɔɪnt:appoint;ə:a,pɔɪ:ppoi,nt:nt;~ə~ɔɪ~1,~
əsaɪd:aside;ə:a,saɪ:si,d:de;~ə~aɪ~1,~
ɪskeɪp:escape;ɪ:e,skeɪ:sca,p:pe;~ɪ~eɪ~1,~
əslip:asleep;ə:a,sli:slee,p:p;~ə~i~1,~
əsoʊsɪeɪtəd:associated;ə:a,soʊ:sso,sɪ:ci,eɪ:a,tə:te,d:d;~ə~oʊ~ɪ~eɪ~ə~2,~
əsoʊsɪət:associate;ə:a,soʊ:sso,sɪ:ci,ə:a,t:te;~ə~oʊ~ɪ~ə~1,~
əsoʊsɪeɪʃən:association;ə:a,soʊ:sso,sɪ:ci,eɪ:a,ʃə:tio,n:n;~ə~oʊ~ɪ~eɪ~ə~2,~
əspɛʃəlɪ:especially;ə:e,spɛ:spe,ʃə:cia,lɪ:lly;~ə~ɛ~ə~ɪ~
ɪstæblɪʃ:establish;ɪ:e,stæ:sta,blɪ:bli,ʃ:sh;~ɪ~æ~ɪ~1,~
ɪstæblɪʃmənt:establishment;ɪ:e,stæ:sta,blɪ:bli,ʃmə:shme,nt:nt;~ɪ~æ~ɪ~ə~1,~
ɪstæblɪʃt:established;ɪ:e,stæ:sta,blɪ:bli,ʃt:shed;~ɪ~æ~ɪ~2,~
əstɑnɪʃ:astonish;ə:a,stɑ:sto,nɪ:ni,ʃ:sh;~ə~ɑ~ɪ~1,~
ɔstɹeɪlyən:australian;ɔ:au,stɹeɪ:stra,lyə:lia,n:n;~ɔ~eɪ~ə~1,~
əsɛmbl:assemble;ə:a,sɛ:sse,mbl:mble;~ə~ɛ~1,~
əsɛmblz:assembles;ə:a,sɛ:sse,mblz:mbles;~ə~ɛ~1,~
ɛsɛnʃəl:essential;ɛ:e,sɛ:sse,nʃə:ntia,l:l;~ɛ~ɛ~ə~1,~
ɛsɛnʃəlɪ:essentially;ɛ:e,sɛ:sse,nʃə:ntia,lɪ:lly;~ɛ~ɛ~ə~ɪ~
əsɪstəd:assisted;ə:a,sɪ:ssi,stə:ste,d:d;~ə~ɪ~ə~1,~
ətæk:attack;ə:a,tæ:tta,k:ck;~ə~æ~1,~
ətɛmpt:attempt;ə:a,tɛ:tte,mpt:mpt;~ə~ɛ~1,~
ətɛnd:attend;ə:a,tɛ:tte,nd:nd;~ə~ɛ~1,~
ətɛndəns:attendance;ə:a,tɛ:tte,ndə:nda,ns:nce;~ə~ɛ~ə~1,~
ətɛndɪŋ:attending;ə:a,tɛ:tte,ndɪ:ndi,ŋ:ng;~ə~ɛ~ɪ~1,~
ətɛntɪv:attentive;ə:a,tɛ:tte,ntɪ:nti,v:ve;~ə~ɛ~ɪ~1,~
ətɛnʃən:attention;ə:a,tɛ:tte,nʃə:ntio,n:n;~ə~ɛ~ə~1,~
ɪtɜɹnəlɪ:eternally;ɪ:e,tɜ:te,ɹnə:rna,lɪ:lly;~ɪ~ɜ~ə~ɪ~
ətɹækt:attract;ə:a,tɹæ:ttra,kt:ct;~ə~æ~1,~
ətɹæktɪv:attractive;ə:a,tɹæ:ttra,ktɪ:cti,v:ve;~ə~æ~ɪ~1,~
ətɹæktɪŋ:attracting;ə:a,tɹæ:ttra,ktɪ:cti,ŋ:ng;~ə~æ~ɪ~1,~
ətɹækʃən:attraction;ə:a,tɹæ:ttra,kʃə:ctio,n:n;~ə~æ~ə~1,~
ətʃiv:achieve;ə:a,tʃi:chie,v:ve;~ə~i~1,~
ətʃɪltɹi:ocheltree;ə:o,tʃɪ:che,lt:l,ɹi:tree;~ə~ɪ~1,~i~
ɪvæpəɹeɪtəɹ:evaporator;ɪ:e,væ:va,pə:po,ɹeɪ:ra,tə:to,ɹ:r;~ɪ~æ~ə~eɪ~ə~1,~
ɪveɪdz:evades;ɪ:e,veɪ:va,dz:des;~ɪ~eɪ~1,~
əveɪləbl:available;ə:a,veɪ:vai,lə:la,bl:ble;~ə~eɪ~ə~2,~
ɪvɑlvz:evolves;ɪ:e,vɑ:vo,lvz:lves;~ɪ~ɑ~1,~
ɪvɛnt:event;ɪ:e,vɛ:ve,nt:nt;~ɪ~ɛ~2,~
ɪvɛnts:events;ɪ:e,vɛ:ve,nts:nts;~ɪ~ɛ~2,~
ɪvɛntʃəwəlɪ:eventually;ɪ:e,vɛ:ve,ntʃə:ntu,wə:a,lɪ:lly;~ɪ~ɛ~ə~ə~ɪ~
əvɔɪd:avoid;ə:a,vɔɪ:voi,d:d;~ə~ɔɪ~1,~
əvɔɪdəns:avoidance;ə:a,vɔɪ:voi,də:da,ns:nce;~ə~ɔɪ~ə~1,~
əweɪ:away;ə:a,weɪ:way;~ə~eɪ~
əweɪk:awake;ə:a,weɪ:wa,k:ke;~ə~eɪ~1,~
əwɔɹd:award;ə:a,wɔ:wa,ɹd:rd;~ə~ɔ~2,~
əɹaʊnd:around;ə:a,ɹaʊ:rou,nd:nd;~ə~aʊ~2,~
əɹaɪv:arrive;ə:a,ɹaɪ:rri,v:ve;~ə~aɪ~1,~
əɹaɪvəl:arrival;ə:a,ɹaɪ:rri,və:va,l:l;~ə~aɪ~ə~1,~
əɹaɪz:arise;ə:a,ɹaɪ:ri,z:se;~ə~aɪ~1,~
əɹaɪzɪz:arises;ə:a,ɹaɪ:ri,zɪ:se,z:s;~ə~aɪ~ɪ~1,~
əʃeɪmd:ashamed;ə:a,ʃeɪ:sha,md:med;~ə~eɪ~1,~
əɹeɪndʒmɛnt:arrangement;ə:a,ɹeɪ:rra,ndʒ:nge,mɛ:me,nt:nt;~ə~eɪ~1,~ɛ~1,~
əɹeɪndʒ:arrange;ə:a,ɹeɪ:rra,ndʒ:nge;~ə~eɪ~1,~
əɡoʊ:ago;ə:a,ɡoʊ:go;~ə~oʊ~
əɹtɪkyəleɪt:articulate;ə:a,ɹtɪ:rti,kyə:cu,leɪ:la,t:te;~ə~ɪ~ə~eɪ~1,~
ɪɡzækt:exact;ɪ:e,ɡzæ:xa,kt:ct;~ɪ~æ~1,~
ɪɡzæktlɪ:exactly;ɪ:e,ɡzæ:xa,ktlɪ:ctly;~ɪ~æ~ɪ~
ɪɡzæmpl:example;ɪ:e,ɡzæ:xa,mpl:mple;~ɪ~æ~1,~
ɪɡzæmplz:examples;ɪ:e,ɡzæ:xa,mplz:mples;~ɪ~æ~1,~
ɪɡzæmɪn:examine;ɪ:e,ɡzæ:xa,mɪ:mi,n:ne;~ɪ~æ~ɪ~1,~
ɪɡzæməneɪʃən:examination;ɪ:e,ɡzæ:xa,mə:mi,neɪ:na,ʃə:tio,n:n;~ɪ~æ~ə~eɪ~ə~1,~
ɪɡzɪst:exist;ɪ:e,ɡzɪ:xi,st:st;~ɪ~ɪ~1,~
ɛɡzɪstəns:existence;ɛ:e,ɡzɪ:xi,stə:ste,ns:nce;~ɛ~ɪ~ə~1,~
əɹɛkiɡə:arechiga;ə:a,ɹɛ:re,ki:chi,ɡə:ga;~ə~ɛ~i~ə~
əɹɑbəɪ:arabe;ə:a,ɹɑ:ra,bəɪ:be;~ə~ɑ~əɪ~
əɹɪdʒənəl:original;ə:o,ɹɪ:ri,dʒə:gi,nə:na,l:l;~ə~ɪ~ə~ə~1,~
əɹɪdʒɪnəl:original;ə:o,ɹɪ:ri,dʒɪ:gi,nə:na,l:l;~ə~ɪ~ɪ~ə~1,~
əɡɛn:again;ə:a,ɡɛ:gai,n:n;~ə~ɛ~1,~
əɡɛnst:against;ə:a,ɡɛ:gai,nst:nst;~ə~ɛ~2,~
əɹɛst:arrest;ə:a,ɹɛ:rre,st:st;~ə~ɛ~1,~
əθɔɹətɪ:authority;ə:au,θɔ:tho,ɹə:ri,tɪ:ty;~ə~ɔ~ə~ɪ~
əɡɹi:agree;ə:a,ɡɹi:gree;~ə~i~
əɡɹimənt:agreement;ə:a,ɡɹi:gree,mə:me,nt:nt;~ə~i~ə~1,~
ɔɹθɑɡɹəfɪ:orthography;ɔ:o,ɹθɑ:rtho,ɡɹə:gra,fɪ:phy;~ɔ~ɑ~ə~ɪ~
ʌ:uh;ʌ:uh;~ʌ~
ɑbdʒɛkt:object;ɑ:o,bdʒɛ:bje,kt:ct;~ɑ~ɛ~1,~
ɑbdʒɛkts:objects;ɑ:o,bdʒɛ:bje,kts:cts;~ɑ~ɛ~1,~
ɑbvɪeɪtəd:obviated;ɑ:o,bvɪ:bvi,eɪ:a,tə:te,d:d;~ɑ~ɪ~eɪ~ə~1,~
ɑbvɪəslɪ:obviously;ɑ:o,bvɪ:bvi,ə:ou,slɪ:sly;~ɑ~ɪ~ə~ɪ~
ɑbəʊz:abo's;ɑ:a,bəʊ:bo,z:'s;~ɑ~əʊ~1,~
ɑd:odd;ɑ:o,d:dd;~ɑ~1,~
ɛdʒ:edge;ɛ:e,dʒ:dge;~ɛ~1,~
ɑdɛst:oddest;ɑ:o,dɛ:dde,st:st;~ɑ~ɛ~1,~
ɑdɪəns:audience;ɑ:au,dɪ:di,ə:e,ns:nce;~ɑ~ɪ~ə~1,~
ɛdʒəkeɪt:educate;ɛ:e,dʒə:du,keɪ:ca,t:te;~ɛ~ə~eɪ~1,~
ɛdʒəkeɪtəɹ:educator;ɛ:e,dʒə:du,keɪ:ca,tə:to,ɹ:r;~ɛ~ə~eɪ~ə~1,~
ɪf:if;ɪ:i,f:f;~ɪ~1,~
ɔf:off;ɔ:o,f:ff;~ɔ~1,~
ɔfn:often;ɔ:o,fn:ften;~ɔ~1,~
ɔftən:often;ɔ:o,ftə:fte,n:n;~ɔ~ə~1,~
ɔfəs:office;ɔ:o,fə:ffi,s:ce;~ɔ~ə~1,~
ɔfəsɪz:offices;ɔ:o,fə:ffi,sɪ:ce,z:s;~ɔ~ə~ɪ~1,~
ɔfəsəɹ:officer;ɔ:o,fə:ffi,sə:ce,ɹ:r;~ɔ~ə~ə~1,~
ɔfəɹ:offer;ɔ:o,fə:ffe,ɹ:r;~ɔ~ə~2,~
ɛfəɹt:effort;ɛ:e,fə:ffo,ɹt:rt;~ɛ~ə~1,~
ɔfəɹz:offers;ɔ:o,fə:ffe,ɹz:rs;~ɔ~ə~2,~
ɛkstɹə:extra;ɛ:e,kstɹə:xtra;~ɛ~ə~
ɑksədʒɛn:oxygen;ɑ:o,ksə:xy,dʒɛ:ge,n:n;~ɑ~ə~ɛ~1,~
ɛksələns:excellence;ɛ:e,ksə:xce,lə:lle,ns:nce;~ɛ~ə~ə~1,~
ɛksələnt:excellent;ɛ:e,ksə:xce,lə:lle,nt:nt;~ɛ~ə~ə~1,~
ɛksəɹsaɪz:exercise;ɛ:e,ksə:xe,ɹsaɪ:rci,z:se;~ɛ~ə~aɪ~1,~
ɛksɛs:excess;ɛ:e,ksɛ:xce,s:ss;~ɛ~ɛ~1,~
ɔkwəɹd:awkward;ɔ:aw,kwə:kwa,ɹd:rd;~ɔ~ə~1,~
ɛkɪnɹɔθ:eckenroth;ɛ:e,kɪ:cke,n:n,ɹɔ:ro,θ:th;~ɛ~ɪ~1,~ɔ~1,~
ɔlbɹaɪts:albright's;ɔ:a,l:l,bɹaɪ:bri,ts:ght's;~ɔ~1,~aɪ~1,~
ɔl:all;ɔ:a,l:ll;~ɔ~2,~
ɪl:ill;ɪ:i,l:ll;~ɪ~1,~
ɛlboʊ:elbow;ɛ:e,lboʊ:lbow;~ɛ~oʊ~
ɛldəɹ:elder;ɛ:e,ldə:lde,ɹ:r;~ɛ~ə~1,~
ɔlmoʊst:almost;ɔ:a,lmoʊ:lmo,st:st;~ɔ~oʊ~1,~
ɛlswɛɹ:elsewhere;ɛ:e,ls:lse,wɛ:whe,ɹ:re;~ɛ~1,~ɛ~1,~
ɛls:else;ɛ:e,ls:lse;~ɛ~1,~
ɛlsən:elson;ɛ:e,lsə:lso,n:n;~ɛ~ə~1,~
ɔlsəʊ:also;ɔ:a,lsəʊ:lso;~ɔ~əʊ~
ɔlweɪz:always;ɔ:a,lweɪ:lway,z:s;~ɔ~eɪ~1,~
ɛləfənt:elephant;ɛ:e,lə:le,fə:pha,nt:nt;~ɛ~ə~ə~1,~
ɛləmənt:element;ɛ:e,lə:le,mə:me,nt:nt;~ɛ~ə~ə~1,~
ʌmbɹɛlə:umbrella;ʌ:u,mbɹɛ:mbre,lə:lla;~ʌ~ɛ~ə~
ɛmpaɪəɹ:empire;ɛ:e,mpaɪ:mpi,ə:re;~ɛ~aɪ~ə~1,~
ɛmptɪ:empty;ɛ:e,mptɪ:mpty;~ɛ~ɪ~
ɛmtɪ:empty;ɛ:e,mtɪ:mpty;~ɛ~ɪ~
ɪmədʒ:image;ɪ:i,mə:ma,dʒ:ge;~ɪ~ə~1,~
ɪmədʒəz:images;ɪ:i,mə:ma,dʒə:ge,z:s;~ɪ~ə~ə~1,~
ɑmən:aman;ɑ:a,mə:ma,n:n;~ɑ~ə~1,~
ɪməteɪt:imitate;ɪ:i,mə:mi,teɪ:ta,t:te;~ɪ~ə~eɪ~1,~
ɪndɔɹ:indoor;ɪ:i,n:n,dɔ:doo,ɹ:r;~ɪ~1,~ɔ~1,~
ɪndɔɹz:indoors;ɪ:i,n:n,dɔ:doo,ɹz:rs;~ɪ~1,~ɔ~1,~
ɛnfəɹ:enfor;ɛ:e,n:n,fə:fo,ɹ:r;~ɛ~1,~ə~1,~
ɛntɹəl:entrail;ɛ:e,n:n,tɹə:trai,l:l;~ɛ~1,~ə~1,~
ɪnwɜɹdz:inwards;ɪ:i,n:n,wɜ:wa,ɹdz:rds;~ɪ~1,~ɜ~1,~
ɪn:inn;ɪ:i,n:nn;~ɪ~1,~
ɑn:on;ɑ:o,n:n;~ɑ~1,~
ɛndlɛs:endless;ɛ:e,nd:nd,lɛ:le,s:ss;~ɛ~1,~ɛ~1,~
ɛnd:end;ɛ:e,nd:nd;~ɛ~1,~
ɪndəkeɪt:indicate;ɪ:i,ndə:ndi,keɪ:ca,t:te;~ɪ~ə~eɪ~1,~
ɪndəstɹɪ:industry;ɪ:i,ndə:ndu,stɹɪ:stry;~ɪ~ə~ɪ~
ʌndəɹ:under;ʌ:u,ndə:nde,ɹ:r;~ʌ~ə~1,~
ɪndɪə:india;ɪ:i,ndɪ:ndi,ə:a;~ɪ~ɪ~ə~
ɛndʒən:engine;ɛ:e,ndʒə:ngi,n:ne;~ɛ~ə~1,~
ɛndʒənɪə:engineer;ɛ:e,ndʒə:ngi,nɪ:nee,ə:r;~ɛ~ə~ɪ~ə~
ɪndʒəɹz:injures;ɪ:i,ndʒə:nju,ɹz:res;~ɪ~ə~1,~
ɪnfluəns:influence;ɪ:i,nflu:nflu,ə:e,ns:nce;~ɪ~u~ə~1,~
ɪnkʌm:income;ɪ:i,nkʌ:nco,m:me;~ɪ~ʌ~1,~
ɔnlaɪn:online;ɔ:o,nlaɪ:nli,n:ne;~ɔ~aɪ~1,~
ɪnstənt:instant;ɪ:i,nstə:nsta,nt:nt;~ɪ~ə~1,~
ɪnstɹʊmənt:instrument;ɪ:i,nstɹʊ:nstru,mə:me,nt:nt;~ɪ~ʊ~ə~1,~
ɪnsɛkt:insect;ɪ:i,nsɛ:nse,kt:ct;~ɪ~ɛ~1,~
ɪnsɛns:incense;ɪ:i,nsɛ:nce,ns:nse;~ɪ~ɛ~1,~
ɪntu:into;ɪ:i,ntu:nto;~ɪ~u~
ɑntu:onto;ɑ:o,ntu:nto;~ɑ~u~
ɪntʃ:inch;ɪ:i,ntʃ:nch;~ɪ~1,~
ɪntəɹfeɪs:interface;ɪ:i,ntə:nte,ɹ:r,feɪ:fa,s:ce;~ɪ~ə~1,~eɪ~1,~
ɛntəɹ:enter;ɛ:e,ntə:nte,ɹ:r;~ɛ~ə~1,~
ɪntəɹnɛt:internet;ɪ:i,ntə:nte,ɹnɛ:rne,t:t;~ɪ~ə~ɛ~1,~
ɪntəɹvyu:interview;ɪ:i,ntə:nte,ɹvyu:rview;~ɪ~ə~u~
ɪntəɹɛst:interest;ɪ:i,ntə:nte,ɹɛ:re,st:st;~ɪ~ə~ɛ~2,~
ɪntəɹɛstɪd:interested;ɪ:i,ntə:nte,ɹɛ:re,stɪ:ste,d:d;~ɪ~ə~ɛ~ɪ~1,~
ɪntəɹɛstɪŋ:interesting;ɪ:i,ntə:nte,ɹɛ:re,stɪ:sti,ŋ:ng;~ɪ~ə~ɛ~ɪ~1,~
ɛntɹəns:entrance;ɛ:e,ntɹə:ntra,ns:nce;~ɛ~ə~1,~
ɛnvɪ:envy;ɛ:e,nvɪ:nvy;~ɛ~ɪ~
ɛnvəloʊp:envelope;ɛ:e,nvə:nve,loʊ:lo,p:pe;~ɛ~ə~oʊ~1,~
ɪnwəɹd:inward;ɪ:i,nwə:nwa,ɹd:rd;~ɪ~ə~1,~
ʌnyən:onion;ʌ:o,nyə:nio,n:n;~ʌ~ə~1,~
ɛnɪ:any;ɛ:a,nɪ:ny;~ɛ~ɪ~
ɛnɪbədɪ:anybody;ɛ:a,nɪ:ny,bə:bo,dɪ:dy;~ɛ~ɪ~ə~ɪ~
ɛnɪhaʊ:anyhow;ɛ:a,nɪ:ny,haʊ:how;~ɛ~ɪ~aʊ~
ɛnəmɪ:enemy;ɛ:e,nə:ne,mɪ:my;~ɛ~ə~ɪ~
ɑnəst:honest;ɑ:ho,nə:ne,st:st;~ɑ~ə~1,~
ɑnəstɪ:honesty;ɑ:ho,nə:ne,stɪ:sty;~ɑ~ə~ɪ~
