æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
ðɛn:then;ð:th,ɛn:en;~~ɛ~
ðɪs:this;ð:th,ɪs:is;~~ɪ~
ðʌs:thus;ð:th,ʌs:us;~~ʌ~
ðɛə:there;ð:th,ɛ:er,ə:e;~~ɛ~ə~
ðɛə:their;ð:th,ɛ:eir;~~ɛ~ə~
ðɛəfɔɹ:therefore;ð:th,ɛ:er,əf:ef,ɔɹ:ore;~~ɛ~ə~ɔ~
ðɛɹfɔɹ:therefore;ð:th,ɛɹf:eref,ɔɹ:ore;~~ɛ~ɔ~
ðɛɹz:there's;ð:th,ɛɹz:ere's;~~ɛ~
ðɛɹz:theirs;ð:th,ɛɹz:eirs;~~ɛ~
ə:a;:,ə:a;~~ə~
əbaʊt:about;:,əb:ab,aʊt:out;~~ə~aʊ~
əbdʒɛktəɹz:objectors;:,əbdʒ:obj,ɛkt:ect,əɹz:ors;~~ə~ɛ~ə~
əbdʒɛkʃən:objection;:,əbdʒ:obj,ɛkʃ:ect,ən:ion;~~ə~ɛ~ə~
əbteɪn:obtain;:,əbt:obt,eɪn:ain;~~ə~eɪ~
əbzɜɹv:observe;:,əbz:obs,ɜɹv:erve;~~ə~ɜ~
əbɪləti:ability;:,əb:ab,ɪl:il,ət:it,i:y;~~ə~ɪ~ə~i~
əbɪs:abyss;:,əb:ab,ɪs:yss;~~ə~ɪ~
əbʌv:above;:,əb:ab,ʌv:ove;~~ə~ʌ~
əbɹɔd:abroad;:,əbɹ:abr,ɔd:oad;~~ə~ɔ~
ədmɪt:admit;:,ədm:adm,ɪt:it;~~ə~ɪ~
ədmɪtəns:admittance;:,ədm:adm,ɪt:itt,əns:ance;~~ə~ɪ~ə~
ədvæns:advance;:,ədv:adv,æns:ance;~~ə~æ~
ədʌlt:adult;:,əd:ad,ʌlt:ult;~~ə~ʌ~
ədɑpt:adopt;:,əd:ad,ɑpt:opt;~~ə~ɑ~
ədɑpʃən:adoption;:,əd:ad,ɑpʃ:opt,ən:ion;~~ə~ɑ~ə~
ədɔɹə:adora;:,əd:ad,ɔɹ:or,ə:a;~~ə~ɔ~ə~
ədɪʃən:addition;:,əd:add,ɪʃ:it,ən:ion;~~ə~ɪ~ə~
ədɪʃənəl:additional;:,əd:add,ɪʃ:it,ən:ion,əl:al;~~ə~ɪ~ə~ə~
əfɛkt:affect;:,əf:aff,ɛkt:ect;~~ə~ɛ~
ɪfɛkt:effect;:,ɪf:eff,ɛkt:ect;~~ɪ~ɛ~
ɪfɛkts:effects;:,ɪf:eff,ɛkts:ects;~~ɪ~ɛ~
ɪfɛktɪv:effective;:,ɪf:eff,ɛkt:ect,ɪv:ive;~~ɪ~ɛ~ɪ~
əfɛnd:offend;:,əf:off,ɛnd:end;~~ə~ɛ~
əfɛns:offense;:,əf:off,ɛns:ense;~~ə~ɛ~
əfɛnsɪv:offensive;:,əf:off,ɛns:ens,ɪv:ive;~~ə~ɛ~ɪ~
əfɛə:affair;:,əf:aff,ɛ:ai,ə:r;~~ə~ɛ~ə~
əfɔɹd:afford;:,əf:aff,ɔɹd:ord;~~ə~ɔ~
əfɪʃəl:official;:,əf:off,ɪʃ:ic,əl:ial;~~ə~ɪ~ə~
ɪfɪʃənsɪ:efficiency;:,ɪf:eff,ɪʃ:ic,əns:ienc,ɪ:y;~~ɪ~ɪ~ə~ɪ~
ɪfɪʃənt:efficient;:,ɪf:eff,ɪʃ:ic,ənt:ient;~~ɪ~ɪ~ə~
əfɹeɪd:afraid;:,əfɹ:afr,eɪd:aid;~~ə~eɪ~
əhɛd:ahead;:,əh:,ɛd:ahead;~~ə~ɛ~
əkaʊnt:account;:,ək:acc,aʊnt:ount;~~ə~aʊ~
əkeɪʒən:occasion;:,ək:occ,eɪʒ:as,ən:ion;~~ə~eɪ~ə~
əklɑk:o'clock;:,əkl:o'cl,ɑk:ock;~~ə~ɑ~
ɪksploʊd:explode;:,ɪks:ex,pl:pl,oʊd:ode;~~ɪ~~oʊ~
ɪksploʊsɪv:explosive;:,ɪks:ex,pl:pl,oʊs:os,ɪv:ive;~~ɪ~~oʊ~ɪ~
ɪksploʊʒən:explosion;:,ɪks:ex,pl:pl,oʊʒ:os,ən:ion;~~ɪ~~oʊ~ə~
ɪksaɪt:excite;:,ɪks:exc,aɪt:ite;~~ɪ~aɪ~
ɪksaɪtɪd:excited;:,ɪks:exc,aɪt:it,ɪd:ed;~~ɪ~aɪ~ɪ~
ɪksaɪtɪŋ:exciting;:,ɪks:exc,aɪt:it,ɪŋ:ing;~~ɪ~aɪ~ɪ~
ɪkskluʒənz:exclusions;:,ɪkskl:excl,uʒ:us,ənz:ions;~~ɪ~u~ə~
ɪkskjus:excuse;:,ɪkskj:exc,us:use;~~ɪ~u~
ɪkspleɪn:explain;:,ɪkspl:expl,eɪn:ain;~~ɪ~eɪ~
ɪkspleɪnd:explained;:,ɪkspl:expl,eɪnd:ained;~~ɪ~eɪ~
ɪksplɔɹ:explore;:,ɪkspl:expl,ɔɹ:ore;~~ɪ~ɔ~
ɪkspɛkt:expect;:,ɪksp:exp,ɛkt:ect;~~ɪ~ɛ~
ɪkspɛktəd:expected;:,ɪksp:exp,ɛkt:ect,əd:ed;~~ɪ~ɛ~ə~
ɪkspɛns:expense;:,ɪksp:exp,ɛns:ense;~~ɪ~ɛ~
ɪkspɛnsɪv:expensive;:,ɪksp:exp,ɛns:ens,ɪv:ive;~~ɪ~ɛ~ɪ~
ɪkspɛɹɪmənt:experiment;:,ɪksp:exp,ɛɹ:er,ɪm:im,ənt:ent;~~ɪ~ɛ~ɪ~ə~
ɪkspɪɹɪəns:experience;:,ɪksp:exp,ɪɹ:er,ɪ:i,əns:ence;~~ɪ~ɪ~ɪ~ə~
ɪkspɪɹɪənsɪz:experiences;:,ɪksp:exp,ɪɹ:er,ɪ:i,əns:enc,ɪz:es;~~ɪ~ɪ~ɪ~ə~ɪ~
ɪkspɹɛs:express;:,ɪkspɹ:expr,ɛs:ess;~~ɪ~ɛ~
ɪkspɹɛʃən:expression;:,ɪkspɹ:expr,ɛʃ:ess,ən:ion;~~ɪ~ɛ~ə~
ɪkstɛnd:extend;:,ɪkst:ext,ɛnd:end;~~ɪ~ɛ~
ɪkstɛnsɪv:extensive;:,ɪkst:ext,ɛns:ens,ɪv:ive;~~ɪ~ɛ~ɪ~
ɪkstɛnt:extent;:,ɪkst:ext,ɛnt:ent;~~ɪ~ɛ~
ɪkstɛnʃən:extension;:,ɪkst:ext,ɛnʃ:ens,ən:ion;~~ɪ~ɛ~ə~
ɪkstɪŋɡwɪʃəɹz:extinguishers;:,ɪkst:ext,ɪŋɡw:ingu,ɪʃ:ish,əɹz:ers;~~ɪ~ɪ~ɪ~ə~
ɪkstʃeɪndʒ:exchange;:,ɪkstʃ:exch,eɪndʒ:ange;~~ɪ~eɪ~
ɪkstɹim:extreme;:,ɪkstɹ:extr,im:eme;~~ɪ~i~
ɪkstɹimlɪ:extremely;:,ɪkstɹ:extr,iml:emel,ɪ:y;~~ɪ~i~ɪ~
ɪksɛpt:except;:,ɪks:exc,ɛpt:ept;~~ɪ~ɛ~
ɪksɛpʃən:exception;:,ɪks:exc,ɛpʃ:ept,ən:ion;~~ɪ~ɛ~ə~
ɪksɛsɪv:excessive;:,ɪks:exc,ɛs:ess,ɪv:ive;~~ɪ~ɛ~ɪ~
əksɛʃən:accession;:,əks:acc,ɛʃ:ess,ən:ion;~~ə~ɛ~ə~
əktoʊbəɹ:october;:,əkt:oct,oʊb:ob,əɹ:er;~~ə~oʊ~ə~
ɪkwɑlətɪ:equality;:,ɪkw:equ,ɑl:al,ət:it,ɪ:y;~~ɪ~ɑ~ə~ɪ~
ɪkwɪpmənt:equipment;:,ɪkw:equ,ɪpm:ipm,ənt:ent;~~ɪ~ɪ~ə~
ɪkwɪps:equips;:,ɪkw:equ,ɪps:ips;~~ɪ~ɪ~
əkjuz:accuse;:,əkj:acc,uz:use;~~ə~u~
əkʌlt:occult;:,ək:occ,ʌlt:ult;~~ə~ʌ~
ɪkɑnəmɪ:economy;:,ɪk:ec,ɑn:on,əm:om,ɪ:y;~~ɪ~ɑ~ə~ɪ~
əkʌstəm:accustom;:,ək:acc,ʌst:ust,əm:om;~~ə~ʌ~ə~
əkɜɹ:occur;:,ək:occ,ɜɹ:ur;~~ə~ɜ~
əkɔɹd:accord;:,ək:acc,ɔɹd:ord;~~ə~ɔ~
əkɔɹdɪd:accorded;:,ək:acc,ɔɹd:ord,ɪd:ed;~~ə~ɔ~ɪ~
əkɔɹdəns:accordance;:,ək:acc,ɔɹd:ord,əns:ance;~~ə~ɔ~ə~
əkɔɹdɪŋ:according;:,ək:acc,ɔɹd:ord,ɪŋ:ing;~~ə~ɔ~ɪ~
əkɹɔs:across;:,əkɹ:acr,ɔs:oss;~~ə~ɔ~
ɪlæstɪk:elastic;:,ɪl:el,æst:ast,ɪk:ic;~~ɪ~æ~ɪ~
əlaʊ:allow;:,əl:all,aʊ:ow;~~ə~aʊ~
əlaʊd:allowed;:,əl:all,aʊd:owed;~~ə~aʊ~
əlaʊd:aloud;:,əl:al,aʊd:oud;~~ə~aʊ~
əlaɪk:alike;:,əl:al,aɪk:ike;~~ə~aɪ~
əlaɪv:alive;:,əl:al,aɪv:ive;~~ə~aɪ~
əlaʊz:allows;:,əl:all,aʊz:ows;~~ə~aʊ~
əlaʊəns:allowance;:,əl:all,aʊ:ow,əns:ance;~~ə~aʊ~ə~
əloʊn:alone;:,əl:al,oʊn:one;~~ə~oʊ~
əloʊŋɡɪ:alongi;:,əl:al,oʊŋɡ:ong,ɪ:i;~~ə~oʊ~ɪ~
ɪlɛktɹɪʃən:electrician;:,ɪl:el,ɛktɹ:ectr,ɪʃ:ic,ən:ian;~~ɪ~ɛ~ɪ~ə~
ɪlɛkt:elect;:,ɪl:el,ɛkt:ect;~~ɪ~ɛ~
ɪlɛktɹɪk:electric;:,ɪl:el,ɛktɹ:ectr,ɪk:ic;~~ɪ~ɛ~ɪ~
ɪlɛkʃən:election;:,ɪl:el,ɛkʃ:ect,ən:ion;~~ɪ~ɛ~ə~
əlɔŋ:along;:,əl:al,ɔŋ:ong;~~ə~ɔ~
ɪlɛktɹɪsətɪ:electricity;:,ɪl:el,ɛktɹ:ectr,ɪs:ic,ət:it,ɪ:y;~~ɪ~ɛ~ɪ~ə~ɪ~
ɔlɹɛdɪ:already;:,ɔlɹ:alr,ɛd:ead,ɪ:y;~~ɔ~ɛ~ɪ~
ɪmbæləns:imbalance;:,ɪm:im,b:b,æl:al,əns:ance;~~ɪ~~æ~ə~
əmaʊnt:amount;:,əm:am,aʊnt:ount;~~ə~aʊ~
ɪmeɪl:email;:,ɪm:em,eɪl:ail;~~ɪ~eɪ~
əmeɪzɪŋ:amazing;:,əm:am,eɪz:az,ɪŋ:ing;~~ə~eɪ~ɪ~
ɛmplɔɪ:employ;:,ɛmpl:empl,ɔɪ:oy;~~ɛ~ɔɪ~
ɛmplɔɪmənt:employment;:,ɛmpl:empl,ɔɪm:oym,ənt:ent;~~ɛ~ɔɪ~ə~
ɛmplɔɪɪ:employee;:,ɛmpl:empl,ɔɪ:oy,ɪ:ee;~~ɛ~ɔɪ~ɪ~
ɛmplɔɪəɹ:employer;:,ɛmpl:empl,ɔɪ:oy,əɹ:er;~~ɛ~ɔɪ~ə~
əmjuzmɛnt:amusement;:,əmj:am,uz:use,m:m,ɛnt:ent;~~ə~u~~ɛ~
əmjuz:amuse;:,əmj:am,uz:use;~~ə~u~
əmjuzɪŋ:amusing;:,əmj:am,uz:us,ɪŋ:ing;~~ə~u~ɪ~
əmʌŋ:among;:,əm:am,ʌŋ:ong;~~ə~ʌ~
əmʌŋst:amongst;:,əm:am,ʌŋst:ongst;~~ə~ʌ~
əmɛɹɪkə:america;:,əm:am,ɛɹ:er,ɪk:ic,ə:a;~~ə~ɛ~ɪ~ə~
əmɛɹɪkən:american;:,əm:am,ɛɹ:er,ɪk:ic,ən:an;~~ə~ɛ~ɪ~ə~
ənbʊk:unbook;:,ən:un,b:b,ʊk:ook;~~ə~~ʊ~
ənbɛɹəbl:unbearable;:,ən:un,b:b,ɛɹ:ear,əbl:abl,_:e;~~ə~~ɛ~ə~
əndu:undo;:,ən:un,d:d,u:o;~~ə~~u~
ənivənlɪ:unevenly;:,ən:un,:,iv:ev,ənl:enl,ɪ:y;~~ə~~i~ə~ɪ~
ɛnkæpsəleɪt:encapsulate;:,ɛn:en,k:c,æps:aps,əl:ul,eɪt:ate;~~ɛ~~æ~ə~eɪ~
ənpɹɪnsəpld:unprincipled;:,ən:un,pɹ:pr,ɪns:inc,əpld:ipled;~~ə~~ɪ~ə~
ənsaɪnd:unsigned;:,ən:un,s:s,aɪnd:igned;~~ə~~aɪ~
ənsteɪdʒ:onstage;:,ən:on,st:st,eɪdʒ:age;~~ə~~eɪ~
ənsʌtl:unsubtle;:,ən:un,s:s,ʌtl:ubtle;~~ə~~ʌ~
ɪn:in;:,ɪn:in;~~ɪ~
ɛnæktmənt:enactment;:,ɛn:en,ækt:act,m:m,ənt:ent;~~ɛ~æ~~ə~
ənaʊns:announce;:,ən:ann,aʊns:ounce;~~ə~aʊ~
ənd:and;:,ənd:and;~~ə~
əndəɹkæpətəlaɪz:undercapitalize;:,ənd:und,əɹ:er,k:c,æp:ap,ət:it,əl:al,aɪz:ize;~~ə~ə~~æ~ə~ə~aɪ~
ɛneɪbl:enable;:,ɛn:en,eɪbl:able;~~ɛ~eɪ~
ɛnfɔɹsəbl:enforceable;:,ɛnf:enf,ɔɹs:orc,əbl:eable;~~ɛ~ɔ~ə~
ɪnkloʊz:enclose;:,ɪnkl:encl,oʊz:ose;~~ɪ~oʊ~
ɛnkɜɹɪdʒmənt:encouragement;:,ɛnk:enc,ɜɹ:ou,ɪdʒm:ragem,ənt:ent;~~ɛ~ɜ~ɪ~ə~
ənlɛs:unless;:,ənl:unl,ɛs:ess;~~ə~ɛ~
ɪntaɪəɹ:entire;:,ɪnt:ent,aɪ:i,əɹ:re;~~ɪ~aɪ~ə~
əntɪl:until;:,ənt:unt,ɪl:il;~~ə~ɪ~
ɪnvaɪɹənmənt:environment;:,ɪnv:env,aɪɹ:ir,ən:on,m:m,ənt:ent;~~ɪ~aɪ~ə~~ə~
ɪnvaɪɹənmɛntəl:environmental;:,ɪnv:env,aɪɹ:ir,ənm:onm,ɛnt:ent,əl:al;~~ɪ~aɪ~ə~ɛ~ə~
ənvɛɹɪfaɪd:unverified;:,ənv:unv,ɛɹ:er,ɪf:if,aɪd:ied;~~ə~ɛ~ɪ~aɪ~
ɪnʌf:enough;:,ɪn:en,ʌf:ough;~~ɪ~ʌ~
ənʌðəɹ:another;:,ən:an,ʌð:oth,əɹ:er;~~ə~ʌ~ə~
ənɔɪ:annoy;:,ən:ann,ɔɪ:oy;~~ə~ɔɪ~
ɛnʃʊə:ensure;:,ɛnʃ:ens,ʊ:ure;~~ɛ~ʊ~ə~
ɛnʃʊə:ensure;:,ɛnʃ:ens,ʊ:u,ə:re;~~ɛ~ʊ~ə~
ənɔɪəns:annoyance;:,ən:ann,ɔɪ:oy,əns:ance;~~ə~ɔɪ~ə~
əpstɛɹz:upstairs;:,əp:up,st:st,ɛɹz:airs;~~ə~~ɛ~
əpsɛt:upset;:,əp:up,s:s,ɛt:et;~~ə~~ɛ~
əpɹaɪt:upright;:,əp:up,ɹ:r,aɪt:ight;~~ə~~aɪ~
əpdeɪt:update;:,əpd:upd,eɪt:ate;~~ə~eɪ~
əplaɪ:apply;:,əpl:appl,aɪ:y;~~ə~aɪ~
əplɔd:applaud;:,əpl:appl,ɔd:aud;~~ə~ɔ~
əplɔz:applause;:,əpl:appl,ɔz:ause;~~ə~ɔ~
əpoʊnənt:opponent;:,əp:opp,oʊn:on,ənt:ent;~~ə~oʊ~ə~
əpoʊz:oppose;:,əp:opp,oʊz:ose;~~ə~oʊ~
əpɑlədʒi:apology;:,əp:ap,ɑl:ol,ədʒ:og,i:y;~~ə~ɑ~ə~i~
əpɑn:upon;:,əp:up,ɑn:on;~~ə~ɑ~
əpɪnjən:opinion;:,əp:op,ɪnj:in,ən:ion;~~ə~ɪ~ə~
əpɪnɪən:opinion;:,əp:op,ɪn:in,ɪ:i,ən:on;~~ə~ɪ~ɪ~ə~
əpɪə:appear;:,əp:app,ɪ:ea,ə:r;~~ə~ɪ~ə~
əpɪəɹəns:appearance;:,əp:app,ɪ:e,əɹ:ar,əns:ance;~~ə~ɪ~ə~ə~
əpɑɹt:apart;:,əp:ap,ɑɹt:art;~~ə~ɑ~
əpɹoʊtʃ:approach;:,əpɹ:appr,oʊtʃ:oach;~~ə~oʊ~
əpɹuv:approve;:,əpɹ:appr,uv:ove;~~ə~u~
əpɹuvəl:approval;:,əpɹ:appr,uv:ov,əl:al;~~ə~u~ə~
əpɔɪnt:appoint;:,əp:app,ɔɪnt:oint;~~ə~ɔɪ~
əsaɪd:aside;:,əs:as,aɪd:ide;~~ə~aɪ~
ɪskeɪp:escape;:,ɪsk:esc,eɪp:ape;~~ɪ~eɪ~
əslip:asleep;:,əsl:asl,ip:eep;~~ə~i~
əsoʊsɪeɪtəd:associated;:,əs:ass,oʊs:oc,ɪ:i,eɪt:at,əd:ed;~~ə~oʊ~ɪ~eɪ~ə~
əsoʊsɪət:associate;:,əs:ass,oʊs:oc,ɪ:i,ət:ate;~~ə~oʊ~ɪ~ə~
əsoʊsɪeɪʃən:association;:,əs:ass,oʊs:oc,ɪ:i,eɪʃ:at,ən:ion;~~ə~oʊ~ɪ~eɪ~ə~
əspɛʃəlɪ:especially;:,əsp:esp,ɛʃ:ec,əl:iall,ɪ:y;~~ə~ɛ~ə~ɪ~
ɪstæblɪʃ:establish;:,ɪst:est,æbl:abl,ɪʃ:ish;~~ɪ~æ~ɪ~
ɪstæblɪʃmənt:establishment;:,ɪst:est,æbl:abl,ɪʃm:ishm,ənt:ent;~~ɪ~æ~ɪ~ə~
ɪstæblɪʃt:established;:,ɪst:est,æbl:abl,ɪʃt:ished;~~ɪ~æ~ɪ~
əstɑnɪʃ:astonish;:,əst:ast,ɑn:on,ɪʃ:ish;~~ə~ɑ~ɪ~
ɔstɹeɪljən:australian;:,ɔstɹ:austr,eɪlj:al,ən:ian;~~ɔ~eɪ~ə~
əsɛmbl:assemble;:,əs:ass,ɛmbl:emble;~~ə~ɛ~
əsɛmblz:assembles;:,əs:ass,ɛmblz:embles;~~ə~ɛ~
ɛsɛnʃəl:essential;:,ɛs:ess,ɛnʃ:ent,əl:ial;~~ɛ~ɛ~ə~
ɛsɛnʃəlɪ:essentially;:,ɛs:ess,ɛnʃ:ent,əl:iall,ɪ:y;~~ɛ~ɛ~ə~ɪ~
əsɪstəd:assisted;:,əs:ass,ɪst:ist,əd:ed;~~ə~ɪ~ə~
ətæk:attack;:,ət:att,æk:ack;~~ə~æ~
ətɛmpt:attempt;:,ət:att,ɛmpt:empt;~~ə~ɛ~
ətɛnd:attend;:,ət:att,ɛnd:end;~~ə~ɛ~
ətɛndəns:attendance;:,ət:att,ɛnd:end,əns:ance;~~ə~ɛ~ə~
ətɛndɪŋ:attending;:,ət:att,ɛnd:end,ɪŋ:ing;~~ə~ɛ~ɪ~
ətɛntɪv:attentive;:,ət:att,ɛnt:ent,ɪv:ive;~~ə~ɛ~ɪ~
ətɛnʃən:attention;:,ət:att,ɛnʃ:ent,ən:ion;~~ə~ɛ~ə~
ɪtɜɹnəlɪ:eternally;:,ɪt:et,ɜɹn:ern,əl:all,ɪ:y;~~ɪ~ɜ~ə~ɪ~
ətɹækt:attract;:,ətɹ:attr,ækt:act;~~ə~æ~
ətɹæktɪv:attractive;:,ətɹ:attr,ækt:act,ɪv:ive;~~ə~æ~ɪ~
ətɹæktɪŋ:attracting;:,ətɹ:attr,ækt:act,ɪŋ:ing;~~ə~æ~ɪ~
ətɹækʃən:attraction;:,ətɹ:attr,ækʃ:act,ən:ion;~~ə~æ~ə~
ətʃiv:achieve;:,ətʃ:ach,iv:ieve;~~ə~i~
ətʃɪltɹi:ocheltree;:,ətʃ:och,ɪlt:el,ɹ:tr,i:ee;~~ə~ɪ~~i~
ɪvæpəɹeɪtəɹ:evaporator;:,ɪv:ev,æp:ap,əɹ:or,eɪt:at,əɹ:or;~~ɪ~æ~ə~eɪ~ə~
ɪveɪdz:evades;:,ɪv:ev,eɪdz:ades;~~ɪ~eɪ~
əveɪləbl:available;:,əv:av,eɪl:ail,əbl:able;~~ə~eɪ~ə~
ɪvɑlvz:evolves;:,ɪv:ev,ɑlvz:olves;~~ɪ~ɑ~
ɪvɛnt:event;:,ɪv:ev,ɛnt:ent;~~ɪ~ɛ~
ɪvɛnts:events;:,ɪv:ev,ɛnts:ents;~~ɪ~ɛ~
ɪvɛntʃəwəlɪ:eventually;:,ɪv:ev,ɛntʃ:ent,əw:u,əl:all,ɪ:y;~~ɪ~ɛ~ə~ə~ɪ~
əvɔɪd:avoid;:,əv:av,ɔɪd:oid;~~ə~ɔɪ~
əvɔɪdəns:avoidance;:,əv:av,ɔɪd:oid,əns:ance;~~ə~ɔɪ~ə~
əweɪ:away;:,əw:aw,eɪ:ay;~~ə~eɪ~
əweɪk:awake;:,əw:aw,eɪk:ake;~~ə~eɪ~
əwɔɹd:award;:,əw:aw,ɔɹd:ard;~~ə~ɔ~
əɹaʊnd:around;:,əɹ:ar,aʊnd:ound;~~ə~aʊ~
əɹaɪv:arrive;:,əɹ:arr,aɪv:ive;~~ə~aɪ~
əɹaɪvəl:arrival;:,əɹ:arr,aɪv:iv,əl:al;~~ə~aɪ~ə~
əɹaɪz:arise;:,əɹ:ar,aɪz:ise;~~ə~aɪ~
əɹaɪzɪz:arises;:,əɹ:ar,aɪz:is,ɪz:es;~~ə~aɪ~ɪ~
əʃeɪmd:ashamed;:,əʃ:ash,eɪmd:amed;~~ə~eɪ~
əɹeɪndʒmɛnt:arrangement;:,əɹ:arr,eɪndʒ:ange,m:m,ɛnt:ent;~~ə~eɪ~~ɛ~
əɹeɪndʒ:arrange;:,əɹ:arr,eɪndʒ:ange;~~ə~eɪ~
əɡoʊ:ago;:,əɡ:ag,oʊ:o;~~ə~oʊ~
əɹtɪkjəleɪt:articulate;:,əɹt:art,ɪkj:ic,əl:ul,eɪt:ate;~~ə~ɪ~ə~eɪ~
ɪɡzækt:exact;:,ɪɡz:ex,ækt:act;~~ɪ~æ~
ɪɡzæktlɪ:exactly;:,ɪɡz:ex,æktl:actl,ɪ:y;~~ɪ~æ~ɪ~
ɪɡzæmpl:example;:,ɪɡz:ex,æmpl:ample;~~ɪ~æ~
ɪɡzæmplz:examples;:,ɪɡz:ex,æmplz:amples;~~ɪ~æ~
ɪɡzæmɪn:examine;:,ɪɡz:ex,æm:am,ɪn:ine;~~ɪ~æ~ɪ~
ɪɡzæməneɪʃən:examination;:,ɪɡz:ex,æm:am,ən:in,eɪʃ:at,ən:ion;~~ɪ~æ~ə~eɪ~ə~
ɪɡzɪst:exist;:,ɪɡz:ex,ɪst:ist;~~ɪ~ɪ~
ɛɡzɪstəns:existence;:,ɛɡz:ex,ɪst:ist,əns:ence;~~ɛ~ɪ~ə~
əɹɛkiɡə:arechiga;:,əɹ:a,ɛk:rech,iɡ:ig,ə:a;~~ə~ɛ~i~ə~
əɹɑbəɪ:arabe;:,əɹ:ar,ɑb:ab,əɪ:e;~~ə~ɑ~əɪ~
əɹɪdʒənəl:original;:,əɹ:or,ɪdʒ:ig,ən:in,əl:al;~~ə~ɪ~ə~ə~
əɹɪdʒɪnəl:original;:,əɹ:or,ɪdʒ:ig,ɪn:in,əl:al;~~ə~ɪ~ɪ~ə~
əɡɛn:again;:,əɡ:ag,ɛn:ain;~~ə~ɛ~
əɡɛnst:against;:,əɡ:ag,ɛnst:ainst;~~ə~ɛ~
əɹɛst:arrest;:,əɹ:arr,ɛst:est;~~ə~ɛ~
əθɔɹətɪ:authority;:,əθ:auth,ɔɹ:or,ət:it,ɪ:y;~~ə~ɔ~ə~ɪ~
əɡɹi:agree;:,əɡɹ:agr,i:ee;~~ə~i~
əɡɹimənt:agreement;:,əɡɹ:agr,im:eem,ənt:ent;~~ə~i~ə~
ɔɹθɑɡɹəfɪ:orthography;:,ɔɹθ:orth,ɑɡɹ:ogr,əf:aph,ɪ:y;~~ɔ~ɑ~ə~ɪ~
ʌ:uh;:,ʌ:uh;~~ʌ~
ɑbdʒɛkt:object;:,ɑbdʒ:obj,ɛkt:ect;~~ɑ~ɛ~
ɑbdʒɛkts:objects;:,ɑbdʒ:obj,ɛkts:ects;~~ɑ~ɛ~
ɑbvɪeɪtəd:obviated;:,ɑbv:obv,ɪ:i,eɪt:at,əd:ed;~~ɑ~ɪ~eɪ~ə~
ɑbvɪəslɪ:obviously;:,ɑbv:obv,ɪ:i,əsl:ousl,ɪ:y;~~ɑ~ɪ~ə~ɪ~
ɑbəʊz:abo's;:,ɑb:ab,əʊz:o's;~~ɑ~əʊ~
ɑd:odd;:,ɑd:odd;~~ɑ~
ɛdʒ:edge;:,ɛdʒ:edge;~~ɛ~
ɑdɛst:oddest;:,ɑd:odd,ɛst:est;~~ɑ~ɛ~
ɑdɪəns:audience;:,ɑd:aud,ɪ:i,əns:ence;~~ɑ~ɪ~ə~
ɛdʒəkeɪt:educate;:,ɛdʒ:ed,ək:uc,eɪt:ate;~~ɛ~ə~eɪ~
ɛdʒəkeɪtəɹ:educator;:,ɛdʒ:ed,ək:uc,eɪt:at,əɹ:or;~~ɛ~ə~eɪ~ə~
ɪf:if;:,ɪf:if;~~ɪ~
ɔf:off;:,ɔf:off;~~ɔ~
ɔfn:often;:,ɔfn:often;~~ɔ~
ɔftən:often;:,ɔft:oft,ən:en;~~ɔ~ə~
ɔfəs:office;:,ɔf:off,əs:ice;~~ɔ~ə~
ɔfəsɪz:offices;:,ɔf:off,əs:ic,ɪz:es;~~ɔ~ə~ɪ~
ɔfəsəɹ:officer;:,ɔf:off,əs:ic,əɹ:er;~~ɔ~ə~ə~
ɔfəɹ:offer;:,ɔf:off,əɹ:er;~~ɔ~ə~
ɛfəɹt:effort;:,ɛf:eff,əɹt:ort;~~ɛ~ə~
ɔfəɹz:offers;:,ɔf:off,əɹz:ers;~~ɔ~ə~
ɛkstɹə:extra;:,ɛkstɹ:extr,ə:a;~~ɛ~ə~
ɑksədʒɛn:oxygen;:,ɑks:ox,ədʒ:yg,ɛn:en;~~ɑ~ə~ɛ~
ɛksələns:excellence;:,ɛks:exc,əl:ell,əns:ence;~~ɛ~ə~ə~
ɛksələnt:excellent;:,ɛks:exc,əl:ell,ənt:ent;~~ɛ~ə~ə~
ɛksəɹsaɪz:exercise;:,ɛks:ex,əɹs:erc,aɪz:ise;~~ɛ~ə~aɪ~
ɛksɛs:excess;:,ɛks:exc,ɛs:ess;~~ɛ~ɛ~
ɔkwəɹd:awkward;:,ɔkw:awkw,əɹd:ard;~~ɔ~ə~
ɛkɪnɹɔθ:eckenroth;:,ɛk:eck,ɪn:en,ɹ:r,ɔθ:oth;~~ɛ~ɪ~~ɔ~
ɔlbɹaɪts:albright's;:,ɔl:al,bɹ:br,aɪts:ight's;~~ɔ~~aɪ~
ɔl:all;:,ɔl:all;~~ɔ~
ɪl:ill;:,ɪl:ill;~~ɪ~
ɛlboʊ:elbow;:,ɛlb:elb,oʊ:ow;~~ɛ~oʊ~
ɛldəɹ:elder;:,ɛld:eld,əɹ:er;~~ɛ~ə~
ɔlmoʊst:almost;:,ɔlm:alm,oʊst:ost;~~ɔ~oʊ~
ɛlswɛɹ:elsewhere;:,ɛls:else,w:wh,ɛɹ:ere;~~ɛ~~ɛ~
ɛls:else;:,ɛls:else;~~ɛ~
